LGA,Tot_P_M,Tot_P_F,Tot_P_P
17150,103167,107696,210863
17200,89566,79939,169505
17310,27523,28769,56292
17350,2873,2903,5776
17400,3390,3421,6811
17420,83986,85886,169872
17450,1784,1574,3358
17500,5526,5408,10934
17550,41012,44093,85105
17620,6865,6889,13754
17640,3604,3589,7193
17650,2980,3054,6034
17700,606,553,1159
17750,28979,30479,59458
17800,2026,1936,3962
17850,1505,1516,3021
17900,3488,2966,6454
17950,1387,1371,2758
18000,69112,71629,140741
18020,4804,4784,9588
18050,31262,32225,63487
18100,1860,1805,3665
18150,4427,4066,8493
18200,3433,3176,6609
18250,32464,34892,67356
18350,21271,23124,44395
18400,21609,21650,43259
18450,95249,97169,192418
18500,24563,27595,52158
18550,72379,77367,149746
18710,7450,7570,15020
18750,5969,6267,12236
19399,619,550,1169
19499,7592,5326,12918
20110,5877,6004,11881
20260,5700,5483,11183
20570,44879,48622,93501
20660,57427,60879,118306
20740,14499,15115,29614
20830,21009,21855,42864
20910,43842,47972,91814
21010,6638,7009,13647
21110,76499,82685,159184
21180,91343,91392,182735
21270,3228,3156,6384
21370,17999,18366,36365
21450,36703,37473,74176
21610,125451,126931,252382
21670,6203,6293,12496
21750,10140,10205,20345
21830,8230,8146,16376
21890,66456,70018,136474
22110,20798,21398,42196
22170,61851,64607,126458
22250,5143,5223,10366
22310,63761,67252,131013
22410,9790,9785,19575
22490,9549,9221,18770
22620,48776,51841,100617
22670,68521,67084,135605
22750,102466,108409,210875
22830,29882,30567,60449
22910,6951,7416,14367
22980,2882,2916,5798
23110,41619,42244,83863
23190,9410,9869,19279
23270,83025,84537,167562
23350,7525,7653,15178
23430,69629,72796,142425
23670,73406,75894,149300
23810,35365,37031,72396
23940,3810,3649,7459
24130,20613,21247,41860
24210,54039,57261,111300
24250,3933,3960,7893
24330,36394,35241,71635
24410,50390,53449,103839
24600,46775,46850,93625
24650,54266,54993,109259
24780,24976,26003,50979
24850,17349,17288,34637
24900,13985,14139,28124
24970,83616,85664,169280
25060,52061,55382,107443
25150,14025,14099,28124
25250,72129,75112,147241
25340,70042,74566,144608
25430,8715,8876,17591
25490,7904,8051,15955
25620,6615,6443,13058
25710,29895,30447,60342
25810,5909,5936,11845
25900,45315,46057,91372
25990,3427,3242,6669
26080,1423,1577,3000
26170,13415,13793,27208
26260,8019,8340,16359
26350,44785,48360,93145
26430,4746,4740,9486
26490,12832,13038,25870
26610,10303,10146,20449
26670,2976,2915,5891
26700,12985,13830,26815
26730,15490,16539,32029
26810,20783,20657,41440
26890,2149,2102,4251
26980,72821,78513,151334
27070,76793,78087,154880
27170,17503,18016,35519
27260,80581,80994,161575
27350,36154,37936,74090
27450,71511,73030,144541
27630,3532,3556,7088
29399,489,315,804
29499,4672,3636,8308
30250,640,654,1294
30300,2437,2283,4720
30370,7479,6977,14456
30410,1620,1595,3215
30450,190,160,350
30760,1090,1110,2200
30900,263,217,480
31000,513710,528129,1041839
31750,240,163,403
31820,44228,45582,89810
31900,8724,8640,17364
31950,316,198,514
32070,77553,78616,156169
32250,1075,978,2053
32260,14281,13387,27668
32270,15393,13322,28715
32310,6096,6073,12169
32330,595,630,1225
32450,1808,1421,3229
32500,2430,1722,4152
32600,168,144,312
32750,155,128,283
32770,667,622,1289
33100,509,384,893
33200,954,837,1791
33220,46672,48640,95312
33360,30096,27795,57891
33430,241600,252901,494501
33610,5319,5309,10628
33620,22722,23027,45749
33800,5894,5674,11568
33830,521,463,984
33960,83096,83808,166904
33980,12549,10039,22588
34420,502,529,1031
34570,231,252,483
34580,17361,17593,34954
34590,137978,140072,278050
34710,2044,2145,4189
34770,58237,54561,112798
34800,628,422,1050
34830,137,129,266
34860,6730,6346,13076
35010,185672,192373,378045
35250,560,582,1142
35300,11325,9912,21237
35600,2305,2314,4619
35670,442,413,855
35760,5135,5008,10143
35780,1115,1183,2298
35790,1225,1111,2336
35800,948,909,1857
36070,342,320,662
36150,528,448,976
36250,67886,70780,138666
36300,435,392,827
36360,54750,54586,109336
36510,17991,18465,36456
36580,10926,10713,21639
36630,15432,15596,31028
36660,16593,17290,33883
36710,148643,158266,306909
36810,22056,21671,43727
36910,73552,77637,151189
36950,1621,1635,3256
36960,2179,2069,4248
37010,87105,87357,174462
37300,1775,1559,3334
37310,16282,15308,31590
37340,16543,14883,31426
37400,707,629,1336
37550,447,498,945
37570,133,137,270
37600,1202,1207,2409
39399,276,195,471
39499,7151,5394,12545
40070,10148,9491,19639
40120,19360,19268,38628
40220,11545,12154,23699
40250,1197,1242,2439
40310,10966,11203,22169
40430,1262,1194,2456
40520,5266,5317,10583
40700,19921,22271,42192
40910,23216,24946,48162
41010,1751,1729,3480
41060,51385,53596,104981
41140,4340,4409,8749
41190,902,831,1733
41330,953,742,1695
41560,6357,6592,12949
41750,553,493,1046
41830,862,840,1702
41960,656,617,1273
42030,9871,10665,20536
42110,2091,2071,4162
42250,4144,3711,7855
42600,16451,18154,34605
42750,2259,2158,4417
43080,537,496,1033
43220,557,531,1088
43360,1165,1114,2279
43650,7009,6774,13783
43710,2607,2309,4916
43790,5660,5627,11287
43920,4252,4091,8343
44000,38,35,73
44060,40024,42967,82991
44210,4324,3812,8136
44340,30431,32467,62898
44550,14463,15304,29767
44620,12205,13042,25247
44830,1451,1422,2873
45040,9949,9793,19742
45090,4164,3952,8116
45120,2304,2200,4504
45290,16720,18167,34887
45340,78409,81167,159576
45400,453,422,875
45540,867,864,1731
45680,39281,39834,79115
45890,56146,56669,112815
46090,7110,6875,13985
46300,6872,7214,14086
46450,8521,8812,17333
46510,9898,10057,19955
46670,4602,4643,9245
46860,726,672,1398
46970,2766,1936,4702
47140,64252,64857,129109
47290,1076,1024,2100
47490,1104,998,2102
47630,3371,3185,6556
47700,46839,48628,95467
47800,2844,2681,5525
47910,1292,1294,2586
47980,17333,19507,36840
48050,6568,7273,13841
48130,3402,3260,6662
48260,3403,3597,7000
48340,5862,5762,11624
48410,26854,28108,54962
48540,11174,10914,22088
48640,639,614,1253
48750,2171,2226,4397
48830,5629,5395,11024
49399,2658,1779,4437
49499,1779,1288,3067
50080,16577,17073,33650
50210,31043,31253,62296
50250,6522,3479,10001
50280,5898,5863,11761
50350,7174,7230,14404
50420,30715,30547,61262
50490,17888,17321,35209
50560,809,758,1567
50630,1388,838,2226
50770,788,800,1588
50840,2118,2201,4319
50910,473,461,934
50980,7665,7332,14997
51080,573,566,1139
51120,489,485,974
51190,15595,15753,31348
51260,14767,15563,30330
51310,12179,12786,24965
51330,42854,42660,85514
51400,7262,7376,14638
51470,285,261,546
51540,2964,2823,5787
51610,611,563,1174
51680,2251,2176,4427
51750,4486,4794,9280
51820,44681,45002,89683
51890,4906,4221,9127
51960,2180,1819,3999
52030,571,496,1067
52100,538,525,1063
52170,3724,3881,7605
52240,578,501,1079
52310,434,436,870
52380,154,118,272
52450,696,614,1310
52520,678,588,1266
52590,1722,1463,3185
52660,6188,6217,12405
52730,2554,2640,5194
52800,4969,3466,8435
52870,2679,2641,5320
52940,348,330,678
53010,324,281,605
53080,650,491,1141
53150,3353,3577,6930
53220,8040,3910,11950
53290,6737,6740,13477
53360,1285,1108,2393
53430,13004,13578,26582
53520,18085,18361,36446
53570,2431,2254,4685
53640,669,602,1271
53710,491,494,985
53780,53754,52831,106585
53920,1822,1738,3560
53990,11658,11579,23237
54060,1822,1745,3567
54130,569,486,1055
54170,75365,77041,152406
54200,26533,27034,53567
54280,16290,14817,31107
54340,2082,2101,4183
54410,597,584,1181
54480,275,237,512
54550,983,999,1982
54620,602,443,1045
54690,236,201,437
54760,433,393,826
54830,14872,14355,29227
54900,722,638,1360
54970,846,381,1227
55040,1676,837,2513
55110,34092,35811,69903
55180,4641,4542,9183
55250,822,555,1377
55320,46060,49640,95700
55390,208,176,384
55460,1737,1545,3282
55530,261,219,480
55600,1246,1230,2476
55670,472,422,894
55740,3943,4655,8598
55810,366,277,643
55880,265,221,486
55950,256,234,490
56020,430,285,715
56090,18766,17763,36529
56160,60,54,114
56230,7173,6976,14149
56300,675,587,1262
56370,417,395,812
56450,478,397,875
56520,2031,2188,4219
56580,9995,10539,20534
56620,701,736,1437
56730,5200,5357,10557
56790,1636,1556,3192
56860,129,101,230
56930,687,841,1528
57000,608,296,904
57080,9269,7445,16714
57140,591,572,1163
57210,2497,2385,4882
57280,8574,6470,15044
57350,505,538,1043
57420,1174,952,2126
57490,51853,52252,104105
57560,13751,9149,22900
57630,54,51,105
57700,9018,8728,17746
57770,458,399,857
57840,19905,20834,40739
57910,96173,99529,195702
57980,8496,9078,17574
58050,54018,54443,108461
58190,232,172,404
58260,311,305,616
58330,2180,2207,4387
58400,190,158,348
58470,138,113,251
58510,16307,16126,32433
58540,500,395,895
58570,16064,15485,31549
58610,940,907,1847
58680,225,213,438
58760,75220,76857,152077
58820,1774,1808,3582
58890,450,418,868
59030,167,110,277
59100,389,361,750
59170,477,437,914
59250,816,343,1159
59310,738,696,1434
59320,220,199,419
59330,268,255,523
59340,4050,3749,7799
59350,279,127,406
59360,1007,629,1636
59370,1696,1700,3396
59399,382,34,416
59499,4286,3011,7297
60210,3157,3037,6194
60410,7482,7978,15460
60610,9286,10043,19329
60810,10407,10948,21355
61010,1194,1068,2262
61210,4039,3938,7977
61410,25310,26542,51852
61510,4932,4772,9704
61610,11752,12863,24615
61810,3401,3426,6827
62010,410,366,776
62210,3294,3342,6636
62410,2119,2071,4190
62610,21465,23191,44656
62810,23778,24925,48703
63010,7632,7508,15140
63210,3128,2958,6086
63410,816,750,1566
63610,16441,17452,33893
63810,4879,4954,9833
64010,31090,33103,64193
64210,9134,9754,18888
64610,6119,6109,12228
64810,6530,6664,13194
65010,3098,2951,6049
65210,1215,1140,2355
65410,6758,6950,13708
65610,2448,2230,4678
65810,10665,11152,21817
69399,81,34,115
69499,613,459,1072
70200,12556,12630,25186
70420,3406,3417,6823
70540,90,91,181
70620,1888,1832,3720
70700,592,514,1106
71000,37826,35104,72930
71300,4521,4577,9098
72200,4663,4524,9187
72300,10320,8674,18994
72330,3063,2768,5831
72800,13922,13781,27703
73600,3064,3057,6121
74050,1320,1260,2580
74500,3003,2921,5924
74560,194,175,369
74660,3263,2969,6232
79399,4806,3283,8089
79499,1019,850,1869
89399,176416,180170,356586
89499,328,304,632
99399,1960,1044,3004
99499,7,18,25
